"effect","term","estimate","std.error","statistic","df","p.value","best_shape_model","focal_terms","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","age",-0.0639973683265067,0.0289494413262541,-2.21065987440897,109.999999996705,0.0291291560354133,"power","log_PFAS_scaled","PFHXA","log_clysis",110,"covariate",0.0837463236018132
"fixed","log_PFAS_scaled:DNA_sexM",-0.198449936266178,0.506444050058146,-0.39184967469436,109.999999995494,0.69592740410479,"power","log_PFAS_scaled","PFHXA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",0.0476526287557778,0.0285822155032681,1.66721256266258,109.9999999966,0.0983168707890515,"power","log_PFAS_scaled","PFHXA","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",0.460989354480564,1.4660406310713,0.314445142044731,49.4436058026747,0.754506036535631,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"covariate",0.836319944111784
"fixed","log_PFAS_scaled",0.00834438772887321,1.19316876666065,0.00699346811786473,69.2156508306602,0.994440183015067,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"main_effect",0.994440183015067
"fixed","DNA_sexM",0.386065870187777,0.526074696965005,0.733861317442262,105.6681243837,0.464658459695432,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"covariate",0.636869867974324
"fixed","DNA_sexU",2.44290906379735,6.83499625589722,0.357411909580728,109.764250371367,0.721469749888573,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"covariate",0.809453865728643
"fixed","age",-0.0647606056944695,0.0311157200618022,-2.08128256604191,47.141945808199,0.0428646037899737,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"covariate",0.117717717870972
"fixed","log_PFAS_scaled:DNA_sexM",0.178196563134367,0.524089769534935,0.340011527590959,109.999205323738,0.734496250731752,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",-0.22801869388979,6.42289282777234,-0.0355009339255742,109.758106440347,0.971744786227605,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.0265400636192172,0.0257735409577241,-1.02974068106321,77.7315262081358,0.306325286327017,"log","log_PFAS_scaled","PFHXS","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",0.25158389997621,1.61504411610157,0.155775249399062,64.4504195438608,0.876697061377983,"log","log_PFAS_scaled","PFNA","log_clysis",110,"covariate",0.911368696573723
"fixed","log_PFAS_scaled",-0.397296911463024,1.62846479002085,-0.243970219004819,82.0817950654184,0.807862655340869,"log","log_PFAS_scaled","PFNA","log_clysis",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.442863974406187,0.528513255661226,0.83794298376134,107.67342246684,0.403918945287459,"log","log_PFAS_scaled","PFNA","log_clysis",110,"covariate",0.59456868746314
"fixed","DNA_sexU",0.195201991723748,3.55758254367251,0.0548692797222464,108.622835683501,0.956343399877085,"log","log_PFAS_scaled","PFNA","log_clysis",110,"covariate",0.966852668007603
"fixed","age",-0.0620042224949361,0.0335654188089192,-1.84726497374911,62.4691610026074,0.0694454245057727,"log","log_PFAS_scaled","PFNA","log_clysis",110,"covariate",0.185187798682061
