"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"PFDS","log_Total_count","log",78.6501984217142,0.00823292185660956,-0.00726343873938107,0.468727767259161,66,0.0438581344704639,0.17968677692549,"Increasing",0.792912183253221
"PFHPA","log_Total_count","power",79.875005094317,NA,NA,1,67,0.0564814855598318,0.0336629653936598,"Increasing",1
"PFHPS","log_Total_count","log",76.4972740993699,0.0495462353772643,0.0349238697676838,0.0702220324618716,67,0.0449199265254081,0.448839905841877,"Increasing",0.259281350628449
"PFHXA","log_Total_count","linear",79.562116758578,0.00505900109692543,-0.0102477835015833,0.567345275753691,67,2.24038093665998,0.0963363802763793,"Increasing",0.875389772428153
"PFHXS","log_Total_count","log",78.7707750838496,0.0167411932542276,0.00161413468890814,0.296694580532248,67,0.0781464057042403,0.260696409429346,"Increasing",0.653299025970941
"PFNA","log_Total_count","power",78.6372750017654,NA,NA,1,67,-0.00201644444048444,-0.240499311972139,"Decreasing",1
"PFNS","log_Total_count","linear",78.8447129568754,0.0156555187220555,0.000511757471625685,0.313039116611076,67,-0.244718924781325,-0.185252226059463,"Decreasing",0.653299025970941
"PFOA","log_Total_count","log",78.5801406743996,0.0195348731039236,0.0044507942285994,0.259293828195325,67,0.0114220856947353,0.155283255019926,"Increasing",0.622305187668779
"PFOS","log_Total_count","log",79.5049658835405,0.00590732205378033,-0.00938641145308461,0.536446794863482,67,0.000337932104352445,0.165800304222649,"Increasing",0.85831487178157
"PFTEDA","log_Total_count","exp",79.2679547649955,NA,NA,1,67,-0.0306644573768515,-0.177945846157869,"Decreasing",1
"PFTRDA","log_Total_count","log",78.4194971945348,0.0218828829288651,0.00683492728161694,0.23222496552311,67,-0.0132149117755327,-0.259144419918197,"Decreasing",0.622305187668779
"TOTAL_PFAS","log_Total_count","log",79.7639568726387,0.00205718324279941,-0.0132957831688498,0.715516520983399,67,0.000181661702243949,0.0979510815414262,"Increasing",0.943588281740031
"chain_long","log_Total_count","log",88.8020650544963,0.195862721573951,0.184037173361804,0.000124955438354665,70,0.00199610048366352,1.10029450080598,"Increasing",0.00149946526025598
"chain_short","log_Total_count","log",87.4375866005981,0.211385625165755,0.199788354947604,6.22630905981934e-05,70,0.104298097821241,1.21736739776953,"Increasing",0.00149946526025598
"func_amine","log_Total_count","log",99.7214893054248,0.0601110087005394,0.0462891117696651,0.0407871471441518,70,0.0193101756526856,0.307630408322935,"Increasing",0.195778306291928
"func_carboxyl","log_Total_count","log",91.5907708467371,0.163180284944667,0.150874112664441,0.000524480995735213,70,0.00533235704638363,1.055812027541,"Increasing",0.00503501755905804
"func_sulfonate","log_Total_count","log",88.4278793915787,0.2001497765563,0.188387273270363,0.000103195818704741,70,0.00219235805181556,1.1169801191034,"Increasing",0.00149946526025598
"age_Legacy","log_Total_count","log",88.7915929873056,0.195983012284641,0.184159233053533,0.000124287736775396,70,0.00198072463903885,1.10062529872544,"Increasing",0.00149946526025598
"age_next_gen","log_Total_count","power",103.244542927232,NA,NA,1,70,0.436952994131464,0.142446676086857,"Increasing",1
