"effect","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","age",0.0209798853754484,0.0051680196660095,4.05955989553114,92.4351700657399,0.000102808590330455,"PFHPS","log_igy",110,"covariate",0.00084116119361281
"fixed","PFAS_scaled:DNA_sexF",-0.173223454712993,0.450775093313106,-0.384279116753847,94.0173116371514,0.70163936868899,"PFHPS","log_igy",110,"interaction",0.896640365851876
"fixed","PFAS_scaled:DNA_sexM",-0.313011988212494,0.454630199923008,-0.688498010615006,95.1493654186332,0.49281450743798,"PFHPS","log_igy",110,"interaction",0.85056599654775
"fixed","PFAS_scaled:age",-0.00596355777060905,0.00524300247148101,-1.13743180611633,95.1409731808866,0.258214280944365,"PFHPS","log_igy",110,"interaction",0.744264692133758
"fixed","(Intercept)",-1.8656299572674,0.269959968359961,-6.91076520938019,96.9384346035649,5.10366530386155e-10,"PFHXA","log_igy",110,"covariate",1.83731950939016e-08
"fixed","PFAS_scaled",0.0990063813245262,0.213433553291381,0.463874493010768,106.127053228702,0.643687727453682,"PFHXA","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",0.107894777354352,0.344429994903073,0.313256043175666,63.6165672498576,0.755110890755418,"PFHXA","log_igy",110,"covariate",0.842363754821432
"fixed","DNA_sexF",-0.287795489234341,0.141239695784664,-2.03763883542427,92.248928754978,0.0444502579269492,"PFHXA","log_igy",110,"covariate",0.100245117257899
"fixed","DNA_sexM",-0.238194418044609,0.147057953332183,-1.61973162720796,103.185701938937,0.108342316986924,"PFHXA","log_igy",110,"covariate",0.204241016957656
"fixed","age",0.0172829828555716,0.00472523488701168,3.65759232479163,82.3370340931807,0.00044763094983755,"PFHXA","log_igy",110,"covariate",0.00259914745066965
"fixed","PFAS_scaled:DNA_sexF",-0.00220424072654282,0.0766525239074417,-0.028756270689853,104.704430145065,0.977113716992818,"PFHXA","log_igy",110,"interaction",0.997811978743356
"fixed","PFAS_scaled:age",-0.00616856128795023,0.00498488699255245,-1.23745258361247,104.388470389632,0.21869539121857,"PFHXA","log_igy",110,"interaction",0.669754635606872
"fixed","(Intercept)",-1.68765873358556,0.300336603409176,-5.61922427845504,99.4912008240362,1.7517803305738e-07,"PFHXS","log_igy",110,"covariate",2.62767049586071e-06
"fixed","PFAS_scaled",0.800207176330178,0.323246500044835,2.4755323761253,97.3119671019617,0.0150318506822811,"PFHXS","log_igy",110,"main_effect",0.194452610937607
"fixed","DNA_sex003-M",0.00402480027979893,0.324827794936559,0.0123905661477799,59.2778969412066,0.990155619416779,"PFHXS","log_igy",110,"covariate",0.990155619416779
"fixed","DNA_sexF",-0.242091770615516,0.14940048973633,-1.6204215330403,83.1441163550159,0.108928542377416,"PFHXS","log_igy",110,"covariate",0.204241016957656
"fixed","DNA_sexM",-0.223202939157743,0.157483866434389,-1.41730670075169,95.0036968898883,0.159664526438582,"PFHXS","log_igy",110,"covariate",0.276342449605237
"fixed","age",0.0137918023062245,0.00540418338857038,2.55206037888974,80.7445307365967,0.0125941616042066,"PFHXS","log_igy",110,"covariate",0.0338108003693202
"fixed","PFAS_scaled:DNA_sexF",-0.115938396930994,0.223024539248693,-0.519845920639753,107.220144244374,0.604242585630133,"PFHXS","log_igy",110,"interaction",0.890545981047171
"fixed","PFAS_scaled:DNA_sexM",-0.137504966803579,0.233650256603749,-0.588507664413891,108.230150576003,0.557417761337494,"PFHXS","log_igy",110,"interaction",0.881079687275394
