bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA8_2,FOSA,N_ETFOSAA,N_MEFOSAA,PFBA,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXS,PFNA,PFNS,PFOA,PFOS,PFTEDA,PFTRDA,PFUNDA,TOTAL_PFAS
LI30-002,0.15605,1,,M,BAEA-LI30-2025-E-002,45.3186641,-89.78109375,5/14/25,2025,WI River - Fau Fau Rd,Lincoln,LI-30a,0829-04140,M,8,N,2.24,35.8,26.2,24.6,55,131,2-Jan,,27.6,50,200,51,36,9,0,0,96,0.705882353,0.481132075,0.339622642,0.08490566,0,0,,10.207,10.372,3.503,0,0.172,4.815,10.851,0.679,0,1.061,0.028,0.219,3.011,0.4,2.107,215.3,3.539,5.715,6.562,281.974
LI24-001,0.23665,0.401880392,,M,BAEA-LI24-2025-L-001,45.18361493,-89.73099901,5/14/25,2025,Council Grounds,Lincoln,LI-24,0829-04200,M,12,Y,3.55,43.5,35.7,32.3,223,136,0,,51.12,50,200,17,30,12,0,0,59,1.764705882,0.288135593,0.508474576,0.203389831,0,0,,13.311,13.274,3.846,0,0.184,7.877,15.41,1.915,0,2.793,0.036,0.499,5.104,0.728,1.914,442.81,4.017,6.865,10.408,536.254
LI31-001,0.1878,0.74465531,,M,BAEA-LI31-2025-L-001,45.48522823,-89.70712518,5/14/25,2025,WI River - Hwy 51 West - North,Lincoln,LI31-001,0829-04142,M,12,Y,2.48,37.9,27.9,27.4,89,125,4-Jan,,32.36,50,200,51,36,12,1,2,102,0.705882353,0.5,0.352941176,0.117647059,0.009803922,0.019607843,,31.616,13.388,15.505,0.426,0.094,6.317,16.163,1.53,0,2.422,0.029,0.358,2.57,0.757,0.605,410.11,5.803,8.528,7.409,539.718
LI31-002,0.17105,1,,M,BAEA-LI31-2025-L-002,45.48522823,-89.70712518,5/14/25,2025,WI River - Hwy 51 West - North,Lincoln,LI31-002,0829-04143,M,12,Y,2.09,35.6,25.08,24.7,66,116,0,,29.14,50,200,76,69,30,4,0,179,0.907894737,0.424581006,0.38547486,0.167597765,0.022346369,0,,25.519,11.258,14.714,0.304,0.078,5.576,13.173,0.152,0,2.456,0.026,0.34,2.421,0.745,0.516,408.47,4.522,6.705,6.264,518.703
LI47-001,0.16725,1,,M,BAEA-LI47-2025-E-001,45.17093,-89.65945,5/14/25,2025,WI River - Merrill - South,Lincoln,LI-47,0829-04137,M,12,Y,3.27,40.7,32.9,28.6,152,127,0,,41.18,45,220,92,74,20,0,0,186,0.804347826,0.494623656,0.397849462,0.107526882,0,0,,13.355,9.751,5.108,0.151,0.1,11.234,16.91,0.834,0,2.075,0.018,0.562,8.346,0.584,1.751,434.45,3.478,6.687,13.76,530.976
LI47-002,0.19885,0.762496386,,F,BAEA-LI47-2025-S-002,45.17093,-89.65945,5/14/25,2025,WI River - Merrill - South,Lincoln,LI-47,0829-04138,M,12,Y,3.92,45.9,35.2,32.6,160,137,4-Jan,,42.3,55,180,31,37,5,0,0,73,1.193548387,0.424657534,0.506849315,0.068493151,0,0,,8.726,7.731,3.813,0.122,0.066,8.766,12.479,1.153,0,1.732,0.021,0.705,6.673,0.437,2.096,328.13,2.547,4.961,10.984,402.277
DA07-001,0.13385,1,,M,BAEA-DA07-2025-E-001,43.28963,-89.64497,5/10/25,2025,Fish Lake,Dane,DO-07a,0829-04176,M,12,N,2.52,38.2,27.2,27,94,138,2-Jan,,33.06,65,155,18,15,5,0,0,38,0.833333333,0.473684211,0.394736842,0.131578947,0,0,,0.532,0.85,0.168,0,0.071,4.445,1.014,0.245,0,0,0,0.16,3.842,0,0,44.276,0.306,1.133,4.023,61.268
DA07-002,0.1559,1,,F,BAEA-DA07-2025-E-002,43.28963,-89.64497,5/10/25,2025,Fish Lake,Dane,DO-07a,0829-04177,F,12,Y,3.21,41.2,30.2,29.8,125,152,0,,37.4,60,165,17,18,12,1,0,48,1.058823529,0.354166667,0.375,0.25,0.020833333,0,,0.426,0.576,0,0,0.075,3.162,0.728,0.167,0,0,0,0.132,3.329,0,0,34.037,0.259,0.762,2.869,46.522
DA07-003,0.1464,1,,M,BAEA-DA07-2025-E-003,43.28963,-89.64497,5/10/25,2025,Fish Lake,Dane,DO-07a,0829-04178,F,12,Y,3.02,38.5,29.8,29.8,126,141,4-Jan,,37.54,50,200,43,32,14,0,2,91,0.744186047,0.472527473,0.351648352,0.153846154,0,0.021978022,,0.42,0.719,0.196,0,0.077,4.627,1.186,0.283,0,0.276,0,0.149,4.514,0,0,48.544,0.327,1.101,4.052,66.471
PT04-001,0.1734,0.66873601,,M,BAEA-PT04-2025-L-001,44.482449,-89.567738,5/13/25,2025,Whiting Dam,Portage,PT-04b,0829-04196,M,12,Y,3.1,41,32.5,28.1,138,129,0,,39.22,40,,57,60,17,0,2,136,1.052631579,0.419117647,0.441176471,0.125,0,0.014705882,,5.322,4.094,1.838,0.12,0.103,9.008,7.194,0.85,0,1.499,0.02,0.302,3.256,0,0,320.05,2.005,3.666,7.452,368.962
PT04-002,0.191,0.826708538,,M,BAEA-PT04-2025-L-002,44.482449,-89.567738,5/13/25,2025,Whiting Dam,Portage,PT-04b,0829-04197,M,12,Y,3.21,41,31.3,28.6,157,130,0,,41.88,30,,59,113,27,0,0,199,1.915254237,0.296482412,0.567839196,0.135678392,0,0,,5.525,3.848,2.378,0.12,0.097,8.311,6.936,0.749,0,1.411,0,0.253,3.452,0.32,0.22,275.87,1.958,3.638,7,324.994
CO03-001,0.1635,1,,F,BAEA-CO03-2025-E-001,43.41861008,-89.54480011,5/11/25,2025,Dekorra,Columbia,CO-03,0829-04131,F,12,Y,4.54,48.9,36.6,32.2,285,143,0,,59.8,50,200,38,55,16,4,1,114,1.447368421,0.333333333,0.48245614,0.140350877,0.035087719,0.00877193,,2.825,2.717,1.863,0.225,0.061,8.607,7.356,0.479,0,0.887,0.016,0.3,2.286,0.372,0,258.89,1.454,3.856,8.872,302.39
CO03-002,0.17325,0.766326997,,M,BAEA-CO03-2025-E-002,43.41861008,-89.54480011,5/11/25,2025,Dekorra,Columbia,CO-03,0829-04132,M,8,Y,3.34,47,34.9,30,275,123,0,,58.4,50,200,42,19,4,1,,66,0.452380952,0.636363636,0.287878788,0.060606061,0.015151515,0,,3.009,2.735,1.49,0.183,0.071,8.276,7.099,0.462,0,0.725,0.018,0.29,1.753,0.362,0,255.46,1.5,3.762,8.37,297.124
ON07-001,0.1601,1,,F,BAEA-ON07-2025-S-001,45.88252,-89.54413,5/15/25,2025,Pickerel Lake SW,Oneida,ON007-001,0829-05202,F,10,N,2.5,36.6,26.9,25.8,63,142,0,,28.72,50,200,74,49,22,0,5,150,0.662162162,0.493333333,0.326666667,0.146666667,0,0.033333333,,0,0.25,0,0,0.044,2.444,0.597,0.12,0,0,0.019,0.104,0.731,0,0,11.988,0,0.612,2.486,19.395
ON138-001,0.25355,1,,F,BAEA-ON138-2025-L-001,45.88572,-89.46541,5/15/25,2025,WI River Oxbow,Oneida,ON-138c,0829-04146,0,8,Y,2.18,37.8,26.2,27.4,47,119,Full,,26.48,,,,,,,,,,,,,,,,0,0.263,0,0,0,1.908,0.618,0.796,0,0,0.015,0.227,1.312,0,0,16.299,0,0.549,2.137,24.124
ON138-002,0.308,1,,M,BAEA-ON138-2025-L-002,45.88572,-89.46541,5/15/25,2025,WI River Oxbow,Oneida,ON-138c,0829-04147,0,12,Y,2.73,38.9,29,26.2,109,122,Full,,35.16,40,,72,96,73,0,1,242,1.333333333,0.297520661,0.396694215,0.301652893,0,0.004132231,,0,0.236,0,0,0.049,1.773,0.661,0.872,0,0,0.025,0.194,1.219,0,0,17.397,0.161,0.59,2.063,25.24
ON31-001,0.22915,0.634780767,,F,BAEA-ON31-2025-E-001,45.637927,-89.237684,5/15/25,2025,Fifth Lake East,Oneida,ON-31g,0829-04179,F,12,Y,3.54,42.8,32.8,31,132,149,4-Mar,,38.38,50,200,52,29,34,1,,116,0.25,0.448275862,0.25,0.293103448,0.00862069,0,,3.105,1.681,1.287,0,0.287,9.664,2.562,0.171,0.596,7.522,0.039,1.744,9.856,0,13.441,346.42,0.61,1.485,6.098,415.773
ON31-002,0.24805,0.770173035,,F,BAEA-ON31-2025-G-002,45.637927,-89.237684,5/15/25,2025,Fifth Lake East,Oneida,ON-31g,0829-05201,F,12,Y,2.79,39.6,30.5,28.1,80,142,0,,31.1,50,200,76,43,66,0,10,195,0.565789474,0.38974359,0.220512821,0.338461538,0,0.051282051,,3.006,1.318,0.573,0,0.221,12.276,3.148,0.186,0.24,9.992,0.02,1.199,13.993,0,13.595,491.64,0.547,1.684,7.792,576.017
