bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA10_2,PF3OUDS11CL,FTSA4_2,DIPAP6_2,FTSA6_2,DIPAP8_2,FTSA8_2,CL_9PF3ONS,DONA,FOSA,N_ETFOSA,N_ETFOSAA,N_ETFOSE,N_MEFOSA,N_MEFOSAA,N_MEFOSE,PFBA,PFBS,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXDA,PFHXS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFODA,PFOS,PFPEA,PFPES,PFTEDA,PFTRDA,PFUNDA,PFEESA,PFDoS,ADONA,HFPO-DA,NFDHA,3:3FTCA,5:3FTCA,6:2FTS,7:3FTCA,TOTAL_PFAS,PCA_score,Q_residual
BR17-002,0.512,0.18533333,N,F,BAEA-BR17-2023-S-002,44.45081,-88.16042289,5/19/23,2023,Hwy MM,BROWN,BR-17,0709-05676,F,12,Y,4.66,50.4,37.8,33,263,140,0.25,,56.7,33,300,33,64,27,0,0,124,1.939393939,0.33,0.64,0.27,0,0,23CR000949,0.287,0,0,0,0,0,0.981,0,0,0.466,0,0.646,0,0,0.521,0,0,0,16.9,7.33,1.25,0,1.38,0,0,3.44,0,0,6.9,0.196,0.262,0,206,0,0,1.89,3.88,16.4,,,,,,,,,,268.729,0.225378282,16.50242058
BR19-001,0.26645,0.02,,F,BAEA-BR19-2024-S-001,44.629607,-87.80131,5/16/24,2024,Bayshore,BROWN,BR-19,0709-05649,U,12,Y,4.11,45.1,34.5,35.6,,150,Empty,,,,,,,,,,,,,,,,,,0.187,0,0,0,0,0,1.3,0,0,0.757,0,1.56,0,0,0.675,0,0,0,13.8,8.28,0.974,0,0.912,0,0,0.7,0,0,3.45,0.112,0.153,0,149,0,0,1.81,4.44,12.4,,,,,,,,,,200.51,0.854368423,9.862629991
BR19-002,0.2199,0,,F,BAEA-BR19-2024-S-002,44.629607,-87.80131,5/16/24,2024,Bayshore,BROWN,BR-19,0709-05650,U,,Y,4.15,45.9,37.6,32.1,,155,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY32-001,0.519,0.10833333,N,M,BAEA-BY32-2023-M-001,46.78803,-91.37576,6/12/23,2023,Port Wing East,BAYFIELD,BY-032d,0709-05623,F,12,Y,3.7,44.5,34.9,31.5,233,144,0,,52.5,50,200,96,36,15,0,0,147,0.375,0.96,0.36,0.15,0,0,23CR000963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6.45,0.696,0,1.08,0,0,1.16,0,0,75.4,0.114,1.92,0,125,0,0,1.65,10.6,42.4,,,,,,,,,,296.47,2.272153631,3.085120727
BY52-001,,,,,BAEA-BY52-2023-M-001,46.86569,-91.2168,6/12/23,2023,Bark Point,BAYFIELD,BY-052,0709-05626,F,0,Y,2.32,30.8,33.7,28.9,243,141,0,,53.9,80,125,14,6,1,0,1,22,0.428571429,0.14,0.06,0.01,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY100-001,0.337,0.081,N,F,BAEA-BY100-2023-M-001,46.8195,-90.80685,6/14/23,2023,Dalrymple Park,BAYFIELD,BY-100a,0709-05636,F,12,Y,4.5,49.9,40.7,32.6,255,160,1,,55.6,40,250,65,70,18,1,0,154,1.076923077,0.65,0.7,0.18,0.01,0,23CR000969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,29.6,5.85,0.679,0,0.98,0,0,0.875,0,0,75.3,0.104,1.65,0,128,0,0,1.98,11.2,36.9,,,,,,,,,,293.211,2.143381317,2.284945215
BY100-002,0.378,0.073,N,,BAEA-BY100-2023-S-001,46.8195,-90.80685,6/14/23,2023,Dalrymple Park,BAYFIELD,BY-100a,0709-05637,F,12,Y,3.86,47.1,37,30.5,245,157,0.75,,54.2,,,,,,,,,,,,,,,23CR000970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,33.3,5.98,0.708,0,1.08,0,0,1.04,0,0,82.8,0.113,1.97,0,128,0,0,1.9,11.5,43.1,,,,,,,,,,311.57,2.493611889,2.718106487
BY100-003,0.374,0.00866667,N,F,BAEA-BY100-2023-E-001,46.8195,-90.80685,6/14/23,2023,Dalrymple Park,BAYFIELD,BY-100a,0709-05638,F,12,Y,4.39,47.4,38,33.3,217,154,0,,50.3,,,,,,,,,,,,,,,23CR000971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,26.5,6.23,0.503,0,0.958,0,0,0.806,0,0,60.7,0.098,0.926,0,107,0,0,1.77,12.9,36.2,,,,,,,,,,254.664,2.002823016,2.403423377
BY30-001,0.47925,0.09005,,M,BAEA-BY30-2024-S-001,46.86643,-91.09493,6/12/24,2024,Cornucopia,BAYFIELD,BY-30,0829-04162,F,12,Y,2.92,41.4,34.2,29.7,177,152,0,,44.7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.071,0,0,0.056,0,0,0,0.115,0,35.6,9.75,1.24,0.051,1.17,0,0,1.2,0,0,80.3,0.174,1.18,0,138,0,0,2.15,23.1,52.3,,,,,,,,,,346.457,3.554074269,4.739072391
BY30-002,0.4269,0.039,,M,BAEA-BY30-2024-S-002,46.86643,-91.09493,6/12/24,2024,Cornucopia,BAYFIELD,BY-30,0829-04163,F,12,Y,2.59,42.6,33.8,29.3,142,152,0,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
