"PFAS","WBC_var","rho","p.value","n","FDR_p"
"PFOS","Mperc",-0.0306028862635354,0.805806934629459,67,0.951617853387833
"PFOS","Bperc",-0.242629989538067,0.0478941395649809,67,0.527262445158055
"PFOS","Total_count",-0.0259040473043494,0.835167761650678,67,0.951617853387833
"PFTEDA","Lperc",-0.0468369590266273,0.706642634327151,67,0.951617853387833
"PFTEDA","Hperc",0.101787923615402,0.412431322547898,67,0.815871785105119
"PFTEDA","Eperc",-0.165191623347473,0.18158058495429,67,0.659531948610734
"PFTEDA","Mperc",-0.00930839836436856,0.940405466850583,67,0.960414093804851
"PFTEDA","Bperc",-0.131097560779876,0.290302827962191,67,0.744887597667006
"PFTEDA","Total_count",-0.17000429154195,0.169009675516131,67,0.659531948610734
"PFTRDA","Lperc",0.0441229298712709,0.72293588221867,67,0.951617853387833
"PFTRDA","Hperc",0.097258251264746,0.433644586026779,67,0.816272161932761
"PFTRDA","Eperc",-0.301806971672768,0.0130617490271623,67,0.413060887699878
"PFTRDA","Mperc",0.0262962253793412,0.832708033165143,67,0.951617853387833
"PFTRDA","Bperc",0.0559143949428207,0.653130240924647,67,0.951617853387833
"PFTRDA","Total_count",-0.25170373626231,0.0399060411528361,67,0.527262445158055
"PFUNDA","Lperc",0.0308521255454477,0.804256618993464,67,0.951617853387833
"PFUNDA","Hperc",0.142435247748822,0.250219715038198,67,0.744887597667006
"PFUNDA","Eperc",-0.182552907753404,0.139248404253246,67,0.659531948610734
"PFUNDA","Mperc",0.0756307367104945,0.542997598141448,67,0.8622839261927
"PFUNDA","Bperc",0.100806312618502,0.416976653584812,67,0.815871785105119
"PFUNDA","Total_count",-0.283912554967405,0.0198948849563989,67,0.413060887699878
"TOTAL_PFAS","Lperc",-0.115485931779758,0.3520489196162,67,0.794378151801243
"TOTAL_PFAS","Hperc",-0.0854252305425477,0.49187180672084,67,0.83473787618955
"TOTAL_PFAS","Eperc",-0.02588228261436,0.835304315462617,67,0.951617853387833
"TOTAL_PFAS","Mperc",0.0369374171458807,0.766651857153236,67,0.951617853387833
"TOTAL_PFAS","Bperc",-0.122254901778253,0.324343869459019,67,0.778425286701645
"TOTAL_PFAS","Total_count",-0.0899412304237081,0.469179279693675,67,0.833828460257234
